cod;genero;raca;nome;regiao;periodo;valor
21;homem;nao negro;MA;Nordeste;2013;184
51;homem;nao negro;MT;Centro-Oeste;2013;243
50;homem;nao negro;MS;Centro-Oeste;2013;192
31;homem;nao negro;MG;Sudeste;2013;1118
15;homem;nao negro;PA;Norte;2013;240
25;homem;nao negro;PB;Nordeste;2013;86
41;homem;nao negro;PR;Sul;2013;2089
26;homem;nao negro;PE;Nordeste;2013;196
22;homem;nao negro;PI;Nordeste;2013;58
33;homem;nao negro;RJ;Sudeste;2013;1302
24;homem;nao negro;RN;Nordeste;2013;178
43;homem;nao negro;RS;Sul;2013;1614
11;homem;nao negro;RO;Norte;2013;131
14;homem;nao negro;RR;Norte;2013;50
42;homem;nao negro;SC;Sul;2013;577
35;homem;nao negro;SP;Sudeste;2013;2823
28;homem;nao negro;SE;Nordeste;2013;76
17;homem;nao negro;TO;Norte;2013;60
12;homem;nao negro;AC;Norte;2014;35
27;homem;nao negro;AL;Nordeste;2014;71
16;homem;nao negro;AP;Norte;2014;14
13;homem;nao negro;AM;Norte;2014;92
29;homem;nao negro;BA;Nordeste;2014;367
23;homem;nao negro;CE;Nordeste;2014;251
53;homem;nao negro;DF;Centro-Oeste;2014;105
32;homem;nao negro;ES;Sudeste;2014;218
52;homem;nao negro;GO;Centro-Oeste;2014;574
21;homem;nao negro;MA;Nordeste;2014;215
51;homem;nao negro;MT;Centro-Oeste;2014;278
50;homem;nao negro;MS;Centro-Oeste;2014;218
31;homem;nao negro;MG;Sudeste;2014;1075
15;homem;nao negro;PA;Norte;2014;194
25;homem;nao negro;PB;Nordeste;2014;72
41;homem;nao negro;PR;Sul;2014;2126
26;homem;nao negro;PE;Nordeste;2014;344
22;homem;nao negro;PI;Nordeste;2014;40
33;homem;nao negro;RJ;Sudeste;2014;1364
24;homem;nao negro;RN;Nordeste;2014;194
43;homem;nao negro;RS;Sul;2014;1860
11;homem;nao negro;RO;Norte;2014;127
14;homem;nao negro;RR;Norte;2014;46
42;homem;nao negro;SC;Sul;2014;640
35;homem;nao negro;SP;Sudeste;2014;2833
28;homem;nao negro;SE;Nordeste;2014;79
17;homem;nao negro;TO;Norte;2014;64
12;homem;nao negro;AC;Norte;2015;25
27;homem;nao negro;AL;Nordeste;2015;54
16;homem;nao negro;AP;Norte;2015;12
13;homem;nao negro;AM;Norte;2015;100
29;homem;nao negro;BA;Nordeste;2015;333
23;homem;nao negro;CE;Nordeste;2015;210
53;homem;nao negro;DF;Centro-Oeste;2015;120
32;homem;nao negro;ES;Sudeste;2015;163
52;homem;nao negro;GO;Centro-Oeste;2015;601
21;homem;nao negro;MA;Nordeste;2015;240
51;homem;nao negro;MT;Centro-Oeste;2015;221
50;homem;nao negro;MS;Centro-Oeste;2015;205
31;homem;nao negro;MG;Sudeste;2015;1009
15;homem;nao negro;PA;Norte;2015;202
25;homem;nao negro;PB;Nordeste;2015;76
41;homem;nao negro;PR;Sul;2015;2048
26;homem;nao negro;PE;Nordeste;2015;370
22;homem;nao negro;PI;Nordeste;2015;52
33;homem;nao negro;RJ;Sudeste;2015;1238
24;homem;nao negro;RN;Nordeste;2015;147
43;homem;nao negro;RS;Sul;2015;2024
11;homem;nao negro;RO;Norte;2015;129
14;homem;nao negro;RR;Norte;2015;36
42;homem;nao negro;SC;Sul;2015;662
35;homem;nao negro;SP;Sudeste;2015;2414
28;homem;nao negro;SE;Nordeste;2015;72
17;homem;nao negro;TO;Norte;2015;92
12;homem;nao negro;AC;Norte;2016;39
27;homem;nao negro;AL;Nordeste;2016;28
16;homem;nao negro;AP;Norte;2016;11
13;homem;nao negro;AM;Norte;2016;84
29;homem;nao negro;BA;Nordeste;2016;392
23;homem;nao negro;CE;Nordeste;2016;195
53;homem;nao negro;DF;Centro-Oeste;2016;121
32;homem;nao negro;ES;Sudeste;2016;126
52;homem;nao negro;GO;Centro-Oeste;2016;582
21;homem;nao negro;MA;Nordeste;2016;247
51;homem;nao negro;MT;Centro-Oeste;2016;218
50;homem;nao negro;MS;Centro-Oeste;2016;211
31;homem;nao negro;MG;Sudeste;2016;1054
15;homem;nao negro;PA;Norte;2016;243
25;homem;nao negro;PB;Nordeste;2016;68
41;homem;nao negro;PR;Sul;2016;2180
26;homem;nao negro;PE;Nordeste;2016;490
22;homem;nao negro;PI;Nordeste;2016;45
33;homem;nao negro;RJ;Sudeste;2016;1383
24;homem;nao negro;RN;Nordeste;2016;185
43;homem;nao negro;RS;Sul;2016;2163
11;homem;nao negro;RO;Norte;2016;158
14;homem;nao negro;RR;Norte;2016;33
42;homem;nao negro;SC;Sul;2016;654
35;homem;nao negro;SP;Sudeste;2016;2284
28;homem;nao negro;SE;Nordeste;2016;73
17;homem;nao negro;TO;Norte;2016;87
11;homem;nao negro;RO;Norte;2017;123
12;homem;nao negro;AC;Norte;2017;68
13;homem;nao negro;AM;Norte;2017;130
14;homem;nao negro;RR;Norte;2017;50
15;homem;nao negro;PA;Norte;2017;308
16;homem;nao negro;AP;Norte;2017;22
17;homem;nao negro;TO;Norte;2017;96
21;homem;nao negro;MA;Nordeste;2017;169
22;homem;nao negro;PI;Nordeste;2017;46
23;homem;nao negro;CE;Nordeste;2017;291
24;homem;nao negro;RN;Nordeste;2017;178
25;homem;nao negro;PB;Nordeste;2017;85
26;homem;nao negro;PE;Nordeste;2017;580
27;homem;nao negro;AL;Nordeste;2017;29
28;homem;nao negro;SE;Nordeste;2017;67
29;homem;nao negro;BA;Nordeste;2017;428
31;homem;nao negro;MG;Sudeste;2017;974
32;homem;nao negro;ES;Sudeste;2017;161
33;homem;nao negro;RJ;Sudeste;2017;1497
35;homem;nao negro;SP;Sudeste;2017;2094
41;homem;nao negro;PR;Sul;2017;1838
42;homem;nao negro;SC;Sul;2017;701
43;homem;nao negro;RS;Sul;2017;2211
50;homem;nao negro;MS;Centro-Oeste;2017;209
51;homem;nao negro;MT;Centro-Oeste;2017;222
52;homem;nao negro;GO;Centro-Oeste;2017;501
53;homem;nao negro;DF;Centro-Oeste;2017;109
32;homem;negro;ES;Sudeste;2000;624
35;homem;negro;SP;Sudeste;2000;6029
15;homem;negro;PA;Norte;2000;603
31;homem;negro;MG;Sudeste;2000;1126
16;homem;negro;AP;Norte;2000;124
27;homem;negro;AL;Nordeste;2000;487
28;homem;negro;SE;Nordeste;2000;171
33;homem;negro;RJ;Sudeste;2000;4003
25;homem;negro;PB;Nordeste;2000;351
51;homem;negro;MT;Centro-Oeste;2000;561
24;homem;negro;RN;Nordeste;2000;161
11;homem;negro;RO;Norte;2000;230
52;homem;negro;GO;Centro-Oeste;2000;472
17;homem;negro;TO;Norte;2000;103
53;homem;negro;DF;Centro-Oeste;2000;533
22;homem;negro;PI;Nordeste;2000;138
12;homem;negro;AC;Norte;2000;44
43;homem;negro;RS;Sul;2000;250
21;homem;negro;MA;Nordeste;2000;230
41;homem;negro;PR;Sul;2000;331
23;homem;negro;CE;Nordeste;2000;656
14;homem;negro;RR;Norte;2000;89
50;homem;negro;MS;Centro-Oeste;2000;273
29;homem;negro;BA;Nordeste;2000;802
42;homem;negro;SC;Sul;2000;47
26;homem;negro;PE;Nordeste;2000;3003
13;homem;negro;AM;Norte;2000;454
43;homem;negro;RS;Sul;2001;300
52;homem;negro;GO;Centro-Oeste;2001;606
21;homem;negro;MA;Nordeste;2001;403
27;homem;negro;AL;Nordeste;2001;557
33;homem;negro;RJ;Sudeste;2001;4003
31;homem;negro;MG;Sudeste;2001;1304
28;homem;negro;SE;Nordeste;2001;256
16;homem;negro;AP;Norte;2001;155
